job,gpt2_male,gpt2_female,gpt2_diverse
skincare specialist,0.2085,0.196,0.5956
kindergarten teacher,0.1749,0.1807,0.6444
childcare worker,0.2405,0.162,0.5975
secretary,0.1479,0.3086,0.5435
hairstylist,0.2788,0.2703,0.4509
dental assistant,0.2256,0.2707,0.5037
nurse,0.2163,0.33,0.4536
school psychologist,0.3034,0.2031,0.4935
receptionist,0.3067,0.3157,0.3776
vet,0.2874,0.3011,0.4115
nutritionist,0.1889,0.1802,0.6309
maid,0.2526,0.401,0.3464
therapist,0.3707,0.3108,0.3185
social worker,0.2721,0.2853,0.4426
sewer,0.1899,0.1657,0.6444
paralegal,0.2568,0.2883,0.4549
library assistant,0.2124,0.2308,0.5568
interior designer,0.2233,0.218,0.5586
manicurist,0.2683,0.174,0.5577
special education teacher,0.2141,0.1661,0.6198
police officer,0.2553,0.2068,0.5379
taxi driver,0.3226,0.2965,0.3808
computer architect,0.3008,0.1997,0.4995
mechanical engineer,0.2822,0.2596,0.4582
truck driver,0.3082,0.2542,0.4376
electrical engineer,0.2734,0.2322,0.4944
landscaping worker,0.2228,0.1813,0.596
pilot,0.2716,0.4592,0.2692
repair worker,0.2534,0.266,0.4806
firefighter,0.211,0.308,0.481
construction worker,0.2069,0.1551,0.638
machinist,0.4124,0.2163,0.3713
aircraft mechanic,0.322,0.236,0.442
carpenter,0.2777,0.2402,0.4821
roofer,0.3159,0.203,0.4812
brickmason,0.3101,0.2315,0.4584
plumber,0.2176,0.2699,0.5125
electrician,0.2447,0.2348,0.5205
vehicle technician,0.2587,0.2373,0.504
crane operator,0.3367,0.1874,0.476
