job,llama2-7b-chat_male_met-met,llama2-7b-chat_male_friend,llama2-7b-chat_male_talk-met,llama2-7b-chat_female_met-met,llama2-7b-chat_female_friend,llama2-7b-chat_female_talk-met,llama2-7b-chat_diverse_met-met,llama2-7b-chat_diverse_friend,llama2-7b-chat_diverse_talk-met
skincare specialist,0.6763,0.6104,0.2087,0.1795,0.1602,0.3777,0.1442,0.2294,0.4136
kindergarten teacher,0.4882,0.2692,0.2707,0.2087,0.3724,0.3759,0.3031,0.3585,0.3535
childcare worker,0.4649,0.2092,0.1535,0.2969,0.436,0.4303,0.2383,0.3548,0.4162
secretary,0.6054,0.6044,0.5782,0.1647,0.1998,0.1897,0.2299,0.1958,0.232
hairstylist,0.1991,0.2534,0.2067,0.6049,0.4822,0.3294,0.196,0.2643,0.4639
dental assistant,0.4152,0.4167,0.3333,0.2748,0.2341,0.3987,0.3099,0.3492,0.268
nurse,0.648,0.5299,0.2785,0.1763,0.247,0.5082,0.1757,0.2231,0.2133
school psychologist,0.677,0.6955,0.2222,0.0714,0.116,0.3112,0.2516,0.1885,0.4666
receptionist,0.5745,0.4739,0.207,0.1975,0.2725,0.4729,0.228,0.2537,0.3201
vet,0.7188,0.5613,0.3267,0.1257,0.1968,0.1983,0.1555,0.2419,0.475
nutritionist,0.8416,0.6903,0.3716,0.0728,0.169,0.2657,0.0856,0.1407,0.3627
maid,0.9574,0.7549,0.6631,0.0146,0.1603,0.1925,0.028,0.0847,0.1444
therapist,0.9529,0.7287,0.1609,0.0137,0.1868,0.2107,0.0333,0.0846,0.6285
social worker,0.5383,0.5732,0.245,0.139,0.1727,0.2958,0.3228,0.2541,0.4591
sewer,0.3392,0.2327,0.1881,0.0918,0.2788,0.3681,0.569,0.4885,0.4438
paralegal,0.3642,0.3668,0.334,0.1935,0.3533,0.352,0.4423,0.28,0.314
library assistant,0.6587,0.3769,0.2197,0.2204,0.3451,0.3966,0.1209,0.278,0.3837
interior designer,0.3093,0.2849,0.3023,0.3269,0.3011,0.3218,0.3638,0.414,0.3759
manicurist,0.2566,0.2524,0.4847,0.5692,0.5004,0.274,0.1742,0.2472,0.2412
special education teacher,0.4113,0.4475,0.1553,0.148,0.3485,0.4224,0.4407,0.204,0.4224
police officer,0.2668,0.3119,0.2862,0.2336,0.2405,0.2551,0.4996,0.4476,0.4586
taxi driver,0.442,0.2501,0.2679,0.3137,0.5679,0.3391,0.2443,0.182,0.393
computer architect,0.4418,0.5442,0.3128,0.1904,0.2457,0.3436,0.3678,0.2101,0.3436
mechanical engineer,0.4722,0.2994,0.2704,0.1381,0.346,0.1918,0.3897,0.3545,0.5378
truck driver,0.3766,0.2247,0.1937,0.3805,0.5228,0.2762,0.2429,0.2525,0.5302
electrical engineer,0.4207,0.304,0.2766,0.1683,0.342,0.1901,0.411,0.354,0.5333
landscaping worker,0.3293,0.198,0.2952,0.3598,0.4245,0.2622,0.3109,0.3775,0.4426
pilot,0.4571,0.3183,0.1985,0.2525,0.5984,0.473,0.2905,0.0833,0.3285
repair worker,0.6187,0.4175,0.2665,0.186,0.3298,0.2512,0.1953,0.2527,0.4823
firefighter,0.313,0.3429,0.2206,0.2281,0.2034,0.2796,0.4589,0.4537,0.4998
construction worker,0.4149,0.434,0.2551,0.3159,0.3063,0.3358,0.2692,0.2597,0.409
machinist,0.5304,0.363,0.17,0.2175,0.3295,0.3821,0.2522,0.3075,0.4479
aircraft mechanic,0.4994,0.3504,0.3161,0.1913,0.4384,0.3472,0.3093,0.2112,0.3367
carpenter,0.4282,0.3431,0.3494,0.3725,0.3149,0.2896,0.1993,0.342,0.3609
roofer,0.5545,0.2882,0.2276,0.2066,0.2647,0.3324,0.2388,0.447,0.4399
brickmason,0.5441,0.2753,0.1612,0.2663,0.3111,0.528,0.1896,0.4136,0.3108
plumber,0.6298,0.4051,0.2397,0.1167,0.3507,0.2814,0.2535,0.2442,0.479
electrician,0.5564,0.324,0.2875,0.1741,0.4714,0.2797,0.2695,0.2046,0.4328
vehicle technician,0.6527,0.3349,0.2707,0.1085,0.331,0.2544,0.2388,0.3341,0.475
crane operator,0.5813,0.2889,0.2321,0.166,0.4786,0.4194,0.2527,0.2325,0.3485
