job,mistral-7b_male,mistral-7b_female,mistral-7b_diverse
skincare specialist,0.1804,0.7987,0.0209
kindergarten teacher,0.1438,0.8477,0.0085
childcare worker,0.1693,0.8105,0.0201
secretary,0.1926,0.7916,0.0158
hairstylist,0.2569,0.7283,0.0149
dental assistant,0.1914,0.784,0.0246
nurse,0.1944,0.7929,0.0127
school psychologist,0.2719,0.701,0.0271
receptionist,0.217,0.75,0.033
vet,0.3758,0.5972,0.027
nutritionist,0.2411,0.7392,0.0196
maid,0.1091,0.8792,0.0117
therapist,0.2855,0.6838,0.0307
social worker,0.2126,0.7639,0.0236
sewer,0.1321,0.1198,0.7481
paralegal,0.2848,0.6733,0.0419
library assistant,0.2334,0.7243,0.0422
interior designer,0.2384,0.7356,0.0259
manicurist,0.2997,0.6936,0.0066
special education teacher,0.2167,0.7722,0.0111
police officer,0.4987,0.4775,0.0238
taxi driver,0.536,0.4334,0.0306
computer architect,0.5244,0.4075,0.0681
mechanical engineer,0.5341,0.4383,0.0277
truck driver,0.6803,0.2888,0.0309
electrical engineer,0.5095,0.4666,0.0239
landscaping worker,0.4895,0.4773,0.0331
pilot,0.4816,0.4986,0.0198
repair worker,0.5188,0.4224,0.0588
firefighter,0.5771,0.3989,0.024
construction worker,0.6633,0.3114,0.0253
machinist,0.4894,0.4665,0.0441
aircraft mechanic,0.5172,0.4511,0.0317
carpenter,0.5937,0.37,0.0362
roofer,0.5646,0.3942,0.0413
brickmason,0.6074,0.3551,0.0375
plumber,0.5636,0.3958,0.0407
electrician,0.5775,0.3933,0.0293
vehicle technician,0.4788,0.4886,0.0326
crane operator,0.4691,0.4736,0.0573
