job,gpt2_male,gpt2_female,gpt2_diverse,gpt2_male_prob,gpt2_female_prob,gpt2_diverse_prob
skincare specialist,0.5191,0.4637,0.0173,0.011018873192369938,0.009843085892498493,0.0003665589028969407
kindergarten teacher,0.4084,0.5673,0.0243,0.006994800642132759,0.009715166874229908,0.0004164225538261235
childcare worker,0.535,0.4433,0.0216,0.012680413201451302,0.010506928898394108,0.0005129833007231355
secretary,0.3312,0.6464,0.0224,0.005483825225383043,0.010702593252062798,0.0003709427546709776
hairstylist,0.5771,0.407,0.0159,0.013507974334061146,0.00952716451138258,0.0003718460211530328
dental assistant,0.5179,0.4656,0.0165,0.017909755930304527,0.01609937660396099,0.0005692088743671775
nurse,0.4385,0.5407,0.0208,0.014272640459239483,0.017597880214452744,0.0006757620722055435
school psychologist,0.5741,0.4106,0.0153,0.008458316326141357,0.006049801129847765,0.000224871895625256
receptionist,0.4951,0.4878,0.0172,0.016024554148316383,0.015789158642292023,0.0005553377559408545
vet,0.5813,0.4043,0.0144,0.02189570665359497,0.015231178142130375,0.0005418433574959636
nutritionist,0.4747,0.5033,0.022,0.010607602074742317,0.011245054192841053,0.0004909915151074529
maid,0.3694,0.619,0.0116,0.013832286931574345,0.02317916974425316,0.00043481081956997514
therapist,0.6268,0.3536,0.0196,0.011598733253777027,0.00654232781380415,0.0003627397818490863
social worker,0.4728,0.5081,0.0191,0.009396517649292946,0.010097524151206017,0.0003789452894125134
sewer,0.6569,0.3313,0.0118,0.013888544403016567,0.007005530409514904,0.0002488218015059829
paralegal,0.5877,0.3981,0.0143,0.019040709361433983,0.01289764791727066,0.0004622679844032973
library assistant,0.4282,0.5555,0.0163,0.014222457073628902,0.018452448770403862,0.0005404102266766131
interior designer,0.6027,0.3777,0.0196,0.015766900032758713,0.009880869649350643,0.0005128285847604275
manicurist,0.7789,0.2068,0.0143,0.025483958423137665,0.006765407044440508,0.00046725725405849516
special education teacher,0.5022,0.4804,0.0174,0.010447656735777855,0.009993668645620346,0.00036271539283916354
police officer,0.5828,0.3996,0.0175,0.013484876602888107,0.009246916510164738,0.0004057555051986128
taxi driver,0.6103,0.375,0.0147,0.01822691038250923,0.011198915541172028,0.0004402417689561844
computer architect,0.5877,0.3993,0.0131,0.014424887485802174,0.009801107458770275,0.0003204826498404145
mechanical engineer,0.5775,0.4109,0.0115,0.023771462962031364,0.016914360225200653,0.00047504936810582876
truck driver,0.6623,0.3234,0.0143,0.022031167522072792,0.010757476091384888,0.0004765989142470062
electrical engineer,0.5793,0.4082,0.0125,0.023312825709581375,0.01642722822725773,0.0005025123828090727
landscaping worker,0.5994,0.3873,0.0133,0.013969114981591702,0.009025960229337215,0.0003103912458755076
pilot,0.4575,0.5318,0.0107,0.020023163408041,0.02327679842710495,0.00046626379480585456
repair worker,0.5804,0.4055,0.0141,0.01730581931769848,0.012088675051927567,0.0004207144374959171
firefighter,0.3637,0.626,0.0103,0.014794319868087769,0.025466598570346832,0.0004188332532066852
construction worker,0.6003,0.3862,0.0135,0.019676854833960533,0.012658623047173023,0.00044373306445777416
machinist,0.6745,0.3192,0.0063,0.02169555239379406,0.010266363620758057,0.00020205246983096004
aircraft mechanic,0.5513,0.4386,0.0101,0.023093722760677338,0.01837535947561264,0.00042191005195491016
carpenter,0.755,0.2362,0.0088,0.031058771535754204,0.009714999236166477,0.0003632059379015118
roofer,0.7166,0.2716,0.0119,0.02479447051882744,0.009396803565323353,0.0004106815904378891
brickmason,0.7607,0.2186,0.0207,0.013686847873032093,0.003933429718017578,0.0003716161008924246
plumber,0.6541,0.3344,0.0115,0.019101060926914215,0.009765436872839928,0.0003359701076988131
electrician,0.5049,0.478,0.0171,0.015683425590395927,0.014846374280750751,0.000531964935362339
vehicle technician,0.5748,0.4127,0.0125,0.027391593903303146,0.01966536045074463,0.0005973836523480713
crane operator,0.6194,0.3696,0.011,0.020644836127758026,0.012317974120378494,0.00036809867015108466
