job,gpt2_male_met-met,gpt2_male_friend,gpt2_male_talk-met,gpt2_female_met-met,gpt2_female_friend,gpt2_female_talk-met,gpt2_diverse_met-met,gpt2_diverse_friend,gpt2_diverse_talk-met,gpt2_male_met-met_prob,gpt2_female_met-met_prob,gpt2_diverse_met-met_prob,gpt2_male_friend_prob,gpt2_female_friend_prob,gpt2_diverse_friend_prob,gpt2_male_talk-met_prob,gpt2_female_talk-met_prob,gpt2_diverse_talk-met_prob
skincare specialist,0.0,0.646,0.0994,0.0017,0.3037,0.8905,0.9982,0.0503,0.01,8.506151516485261e-07,0.00011413936590543017,0.06534235924482346,5.791203511762433e-05,2.7226615202380344e-05,4.5081442294758745e-06,4.496896508499049e-06,4.027351315016858e-05,4.5299339035409503e-07
kindergarten teacher,0.0,0.5649,0.1694,0.0113,0.3955,0.8295,0.9887,0.0396,0.001,4.604172829658637e-07,0.0001295961410505697,0.011380690149962902,3.7423644243972376e-05,2.6200968932243995e-05,2.6238662940158974e-06,4.30577756560524e-06,2.1082341845612973e-05,2.61738790641175e-08
childcare worker,0.0,0.3722,0.0525,0.0093,0.5776,0.9443,0.9907,0.0502,0.0031,2.5984746798712877e-07,0.000180016751983203,0.019224058836698532,2.5294595616287552e-05,3.924703923985362e-05,3.410893896216294e-06,1.0290128784617991e-06,1.849557156674564e-05,6.123617879438825e-08
secretary,0.0,0.3983,0.0055,0.0121,0.562,0.994,0.9879,0.0397,0.0005,2.2719063963450026e-07,0.00010289205965818837,0.008388017304241657,1.9356724806129932e-05,2.7314854378346354e-05,1.929397967614932e-06,2.630299320571794e-07,4.744654870592058e-05,2.4186096680978153e-08
hairstylist,0.0,0.5514,0.0595,0.007,0.3956,0.9358,0.993,0.053,0.0047,3.9724616840430826e-07,0.00017370386922266334,0.024653127416968346,3.9063790609361604e-05,2.802861126838252e-05,3.7515849271585466e-06,2.477196630934486e-06,3.895470217685215e-05,1.958061233153785e-07
dental assistant,0.0,0.6266,0.0194,0.0088,0.3336,0.9797,0.9912,0.0398,0.0009,2.611221816550824e-07,0.0001339869195362553,0.015137730166316032,4.282407462596893e-05,2.2801377781433985e-05,2.722239059949061e-06,8.216636047109205e-07,4.1520019294694066e-05,3.681819293888111e-08
nurse,0.0,0.3286,0.0128,0.0143,0.632,0.9865,0.9857,0.0394,0.0007,1.753168561435814e-07,0.0001494182215537876,0.010279005393385887,1.9021721527678892e-05,3.6590994568541646e-05,2.281721663166536e-06,4.812969223166874e-07,3.711043609655462e-05,2.630165063521872e-08
school psychologist,0.0,0.7243,0.1722,0.0038,0.2409,0.8263,0.9962,0.0348,0.0015,6.378463695000391e-07,6.581999332411215e-05,0.01720619387924671,5.4584990721195936e-05,1.8154411009163596e-05,2.6220241124974564e-06,8.798581802693661e-06,4.2228155507473275e-05,7.560058890021537e-08
receptionist,0.0,0.501,0.0154,0.0128,0.4452,0.9834,0.9872,0.0538,0.0012,2.736649094003951e-07,0.00019607356807682663,0.015100744552910328,3.929406375391409e-05,3.492167888907716e-05,4.221187737130094e-06,9.540154906062526e-07,6.088760346756317e-05,7.304564775267863e-08
vet,0.0,0.7961,0.4563,0.0004,0.1633,0.5188,0.9996,0.0406,0.0249,1.9676597275974927e-06,1.663516741245985e-05,0.04734823480248451,0.0001145282803918235,2.349294300074689e-05,5.834931926074205e-06,1.4947240742912982e-05,1.6994785255519673e-05,8.14302325125027e-07
nutritionist,0.0,0.5207,0.0688,0.0046,0.4483,0.9304,0.9953,0.031,0.0008,4.463203708837682e-07,8.923203859012574e-05,0.019133104011416435,3.0957726266933605e-05,2.6656298359739594e-05,1.8432249362376751e-06,4.156250724918209e-06,5.619775038212538e-05,4.69167709127305e-08
maid,0.0,0.2138,0.0067,0.0371,0.7454,0.9928,0.9629,0.0408,0.0004,1.3116978436755744e-07,0.0001949698489625007,0.005057347938418388,1.2383222383505199e-05,4.3179505155421793e-05,2.3619372768735047e-06,2.0109125387079985e-07,2.9587492463178933e-05,1.3313792734948038e-08
therapist,0.0,0.6753,0.1153,0.0027,0.2764,0.8832,0.9973,0.0484,0.0015,7.958161631904659e-07,7.163271948229522e-05,0.026594307273626328,4.772863758262247e-05,1.9534067178028636e-05,3.4198305911559146e-06,6.530246992042521e-06,5.003804471925832e-05,8.611717561279875e-08
social worker,0.0,0.6204,0.05,0.0027,0.3271,0.9472,0.9973,0.0525,0.0028,4.704886578110745e-07,0.00013024463260080665,0.04768555611371994,5.4934345826040953e-05,2.89602940028999e-05,4.649232323572505e-06,3.2469963571202243e-06,6.145592487882823e-05,1.8195726170233684e-07
sewer,0.0001,0.7745,0.2703,0.0005,0.1842,0.7227,0.9995,0.0413,0.0069,1.0098037819261663e-06,7.237450518005062e-06,0.015263661742210388,7.949708378873765e-05,1.8909315258497372e-05,4.235881533531938e-06,2.231587131973356e-05,5.966344178887084e-05,5.720287958865811e-07
paralegal,0.0,0.8223,0.1773,0.0023,0.1328,0.8166,0.9976,0.0449,0.0061,1.0035909099315177e-06,5.2693467296194285e-05,0.02266675792634487,7.193932106019929e-05,1.1614393770287279e-05,3.930011189368088e-06,6.056320216885069e-06,2.7901347493752837e-05,2.0837580905208597e-07
library assistant,0.0,0.5472,0.0318,0.0189,0.422,0.9675,0.981,0.0308,0.0008,2.6498392458051967e-07,0.00017050100723281503,0.008832604624330997,4.134626215090975e-05,3.188465416315012e-05,2.32861361837422e-06,1.3201930642026127e-06,4.021453423774801e-05,3.194006836793051e-08
