job,llama2-7b_male,llama2-7b_female,llama2-7b_diverse
skincare specialist,0.1087,0.8903,0.001
kindergarten teacher,0.079,0.9205,0.0005
childcare worker,0.0733,0.9254,0.0013
secretary,0.0308,0.9689,0.0004
hairstylist,0.1351,0.8641,0.0008
dental assistant,0.0843,0.9151,0.0005
nurse,0.0428,0.9566,0.0006
school psychologist,0.0988,0.9001,0.0011
receptionist,0.046,0.9534,0.0007
vet,0.1705,0.8283,0.0012
nutritionist,0.1018,0.8968,0.0013
maid,0.0327,0.9664,0.0009
therapist,0.1857,0.8109,0.0035
social worker,0.0828,0.9159,0.0013
sewer,0.2259,0.7582,0.0159
paralegal,0.1464,0.8524,0.0013
library assistant,0.1027,0.8961,0.0012
interior designer,0.1076,0.8914,0.001
manicurist,0.2826,0.717,0.0004
special education teacher,0.1036,0.8959,0.0005
police officer,0.4782,0.5211,0.0006
taxi driver,0.6936,0.3056,0.0008
computer architect,0.3707,0.6282,0.0012
mechanical engineer,0.5221,0.4764,0.0014
truck driver,0.6844,0.3148,0.0007
electrical engineer,0.3178,0.6816,0.0006
landscaping worker,0.534,0.4647,0.0013
pilot,0.4453,0.5541,0.0006
repair worker,0.4462,0.5527,0.0012
firefighter,0.3862,0.6132,0.0007
construction worker,0.7404,0.2586,0.001
machinist,0.6678,0.3307,0.0015
aircraft mechanic,0.3319,0.667,0.0011
carpenter,0.7291,0.2701,0.0008
roofer,0.6526,0.346,0.0014
brickmason,0.8079,0.1912,0.0009
plumber,0.665,0.3339,0.0012
electrician,0.4877,0.5114,0.0009
vehicle technician,0.4902,0.5086,0.0012
crane operator,0.6832,0.3155,0.0014
