job,gpt2_male_met-met,gpt2_male_friend,gpt2_male_talk-met,gpt2_female_met-met,gpt2_female_friend,gpt2_female_talk-met,gpt2_diverse_met-met,gpt2_diverse_friend,gpt2_diverse_talk-met,gpt2_male_met-met_prob,gpt2_female_met-met_prob,gpt2_diverse_met-met_prob,gpt2_male_friend_prob,gpt2_female_friend_prob,gpt2_diverse_friend_prob,gpt2_male_talk-met_prob,gpt2_female_talk-met_prob,gpt2_diverse_talk-met_prob
skincare specialist,0.0,0.6568,0.0965,0.0029,0.3058,0.8959,0.9971,0.0373,0.0076,5.313796691552852e-07,0.00010292991646565497,0.03586394339799881,4.675637683249079e-05,2.1768633814645e-05,2.6579350560496096e-06,2.9824129796907073e-06,2.7693842639564537e-05,2.3387168823774118e-07
kindergarten teacher,0.0001,0.5551,0.1182,0.0214,0.424,0.8812,0.9785,0.0209,0.0006,3.0479046131404175e-07,0.00011569484922802076,0.005288301035761833,3.1093110010260716e-05,2.3748783860355616e-05,1.1691778354361304e-06,2.320308794878656e-06,1.729505675029941e-05,1.128258997340481e-08
childcare worker,0.0,0.4165,0.0398,0.0261,0.5576,0.9591,0.9738,0.0259,0.001,1.5477046133582917e-07,0.0001779559243004769,0.006630634423345327,2.6373758373665623e-05,3.530612957547419e-05,1.6379392491217004e-06,5.221210699346557e-07,1.2571520528581459e-05,1.3361226791630543e-08
secretary,0.0,0.4161,0.0136,0.0192,0.5615,0.9858,0.9808,0.0224,0.0005,2.11608750078085e-07,0.0001014463632600382,0.005190359428524971,2.0140740161878057e-05,2.7173966373084113e-05,1.0843618838407565e-06,3.152147769469593e-07,2.283507456013467e-05,1.2650263947477924e-08
hairstylist,0.0,0.5867,0.0401,0.0148,0.3801,0.9584,0.9852,0.0332,0.0016,2.3397436166305852e-07,0.0001530824665678665,0.01017907913774252,3.3012292988132685e-05,2.138829222531058e-05,1.8692874164116802e-06,1.1863195368277957e-06,2.8374544854159467e-05,4.598245695319747e-08
dental assistant,0.0,0.5703,0.0118,0.0186,0.4052,0.9877,0.9813,0.0245,0.0005,1.50489569250567e-07,0.00012761821562889963,0.0067161438055336475,3.235137774026953e-05,2.2983658709563315e-05,1.38773066282738e-06,3.1462744232158e-07,2.6350380721851252e-05,1.2302523444418512e-08
nurse,0.0,0.3343,0.0151,0.0233,0.6411,0.9844,0.9767,0.0246,0.0006,1.0684180296038903e-07,0.000133062872919254,0.0055735744535923,1.5299016013159417e-05,2.933837276941631e-05,1.1277037401669077e-06,3.521496978464711e-07,2.3027354473015293e-05,1.2969246121485867e-08
school psychologist,0.0001,0.6945,0.1218,0.0113,0.2867,0.8777,0.9887,0.0188,0.0006,4.0117214439305826e-07,8.43528687255457e-05,0.007387036457657814,4.305035326979123e-05,1.7771113562048413e-05,1.167437517324288e-06,4.7102244025154505e-06,3.394992381799966e-05,2.1777745828899242e-08
receptionist,0.0,0.5013,0.0243,0.0222,0.4679,0.975,0.9777,0.0309,0.0007,2.1686994955416594e-07,0.0001474268501624465,0.006485133431851864,3.140824628644623e-05,2.9316383006516844e-05,1.93424466488068e-06,7.26529322037095e-07,2.919009784818627e-05,2.126736653451644e-08
vet,0.0001,0.8037,0.5577,0.0011,0.1693,0.4286,0.9989,0.027,0.0137,1.4517970612359932e-06,1.9642411643872038e-05,0.01836143620312214,7.747298514004797e-05,1.6320200302288868e-05,2.605463578220224e-06,1.3630144167109393e-05,1.0474620466993656e-05,3.354292630319833e-07
nutritionist,0.0,0.5301,0.0688,0.0087,0.4485,0.9306,0.9913,0.0213,0.0006,3.445304912474967e-07,8.651399548398331e-05,0.009866885840892792,2.961970130854752e-05,2.50620814767899e-05,1.192810259453836e-06,2.315258825547062e-06,3.129781180177815e-05,1.8896283648928147e-08
maid,0.0,0.2372,0.0067,0.0419,0.7374,0.993,0.9581,0.0254,0.0004,8.036372634023792e-08,0.00015491068188566715,0.003546362277120352,1.1522932254592888e-05,3.5827222745865583e-05,1.234443516295869e-06,1.2438866292541206e-07,1.851451634138357e-05,6.862974633037311e-09
therapist,0.0,0.656,0.1245,0.0066,0.3121,0.8741,0.9934,0.0319,0.0014,4.5436880213856057e-07,8.306340168928728e-05,0.012518396601080894,3.5214503441238776e-05,1.6754132957430556e-05,1.710811375232879e-06,4.800775514013367e-06,3.369699697941542e-05,5.3305360125932566e-08
social worker,0.0,0.6233,0.0597,0.0068,0.3459,0.9391,0.9931,0.0308,0.0012,3.493487383821048e-07,0.00011421293311286718,0.016604339703917503,4.222611096338369e-05,2.3437905838363804e-05,2.08665414902498e-06,2.8378976821841206e-06,4.467520921025425e-05,5.7847682199962946e-08
sewer,0.0001,0.7909,0.2256,0.001,0.1851,0.7702,0.9989,0.024,0.0043,6.691098519695515e-07,1.0789498446683865e-05,0.01032220758497715,6.086009670980275e-05,1.4245767488318961e-05,1.8488697151042288e-06,1.2243662240507547e-05,4.180359246674925e-05,2.3208674804209295e-07
paralegal,0.0001,0.7974,0.1618,0.0047,0.1738,0.8356,0.9952,0.0288,0.0026,6.188973316056945e-07,5.43851128895767e-05,0.01149587333202362,4.930155409965664e-05,1.0743538041424472e-05,1.7796601241570897e-06,4.855672614212381e-06,2.507882527424954e-05,7.720067429772826e-08
library assistant,0.0,0.5148,0.0279,0.0294,0.4665,0.9716,0.9706,0.0186,0.0005,1.873257957640817e-07,0.0001419529435224831,0.00469037564471364,3.2661875593476e-05,2.9597733373520896e-05,1.1813874607469188e-06,7.945037054923887e-07,2.767776277323719e-05,1.3835130374673099e-08
interior designer,0.0,0.6795,0.295,0.002,0.2891,0.6989,0.9979,0.0315,0.0061,7.093657359291683e-07,4.795238419319503e-05,0.02364392578601837,4.519895082921721e-05,1.9229477402404882e-05,2.0937904992024414e-06,1.6151690942933783e-05,3.826294778264128e-05,3.329161586407281e-07
manicurist,0.0,0.6218,0.1618,0.0085,0.3469,0.8366,0.9914,0.0313,0.0016,4.7632073574277456e-07,8.50087235448882e-05,0.00991210900247097,3.289566302555613e-05,1.8354789062868804e-05,1.6568315004406031e-06,3.7009995139669627e-06,1.9136268747388385e-05,3.707693707610815e-08
special education teacher,0.0,0.4449,0.074,0.0173,0.5313,0.9255,0.9826,0.0237,0.0005,2.636336091654812e-07,0.00011152282968396321,0.006327922455966473,2.521662099752575e-05,3.0114102628431283e-05,1.3459685987982084e-06,1.5791662235642434e-06,1.9743447410291992e-05,1.1110556918936254e-08
police officer,0.0001,0.9156,0.6128,0.0021,0.066,0.3831,0.9978,0.0184,0.0041,8.630008778709453e-07,1.450507807021495e-05,0.006903909146785736,7.758050196571276e-05,5.589381999016041e-06,1.5583804042762495e-06,1.0853354069695342e-05,6.7855880843126215e-06,7.298162074675929e-08
taxi driver,0.0002,0.8903,0.622,0.0032,0.0908,0.3766,0.9967,0.0189,0.0014,8.911804343370022e-07,1.6364023394999094e-05,0.005134289152920246,7.225295121315867e-05,7.367938451352529e-06,1.5321746786867152e-06,8.921205335354898e-06,5.4015386012906674e-06,2.0743103235076887e-08
computer architect,0.0001,0.8172,0.3885,0.0022,0.1651,0.608,0.9977,0.0177,0.0036,9.178422715194756e-07,3.360801929375157e-05,0.015180101618170738,7.261671271407977e-05,1.4671041753899772e-05,1.5763816918479279e-06,1.7691723769530654e-05,2.7688753107213415e-05,1.6368021249490994e-07
mechanical engineer,0.0001,0.849,0.3677,0.0022,0.1339,0.6294,0.9978,0.0171,0.0029,7.167578246480844e-07,2.29357374337269e-05,0.010493433102965355,7.104755786713213e-05,1.1203341273358092e-05,1.4347716614793171e-06,1.0725268111855257e-05,1.8360191461397335e-05,8.376004245747026e-08
truck driver,0.0002,0.9181,0.7467,0.0016,0.0669,0.2515,0.9982,0.015,0.0018,9.430787031305954e-07,7.430803179886425e-06,0.004655000753700733,7.959362847032025e-05,5.797325684397947e-06,1.2988390380996861e-06,8.611557859694585e-06,2.900863819377264e-06,2.0501246922322025e-08
electrical engineer,0.0001,0.8638,0.3436,0.0026,0.1219,0.6545,0.9973,0.0143,0.0019,7.627738227711234e-07,2.6823958251043223e-05,0.010156609117984772,7.617966912221164e-05,1.0751781701401342e-05,1.2622042504517594e-06,9.949557352229021e-06,1.89502152352361e-05,5.4371145807863286e-08
landscaping worker,0.0001,0.7849,0.224,0.0104,0.1963,0.7737,0.9896,0.0188,0.0022,4.802621447197453e-07,8.604367758380249e-05,0.00820114929229021,5.3550658776657656e-05,1.339342361461604e-05,1.285014150198549e-06,5.323176083038561e-06,1.8384418581263162e-05,5.260230651060738e-08
pilot,0.0001,0.8141,0.1472,0.0056,0.1658,0.8516,0.9943,0.0201,0.0011,8.272093623418186e-07,4.993873153580353e-05,0.008813277818262577,6.171504355734214e-05,1.257112126040738e-05,1.5224460412355256e-06,5.178601895750035e-06,2.995100658154115e-05,4.0413812740780486e-08
repair worker,0.0001,0.782,0.2952,0.0062,0.1965,0.7012,0.9937,0.0215,0.0036,6.793418378947536e-07,7.400401227641851e-05,0.011869296431541443,6.814146763645113e-05,1.7119062249548733e-05,1.8728658233158058e-06,6.84154929331271e-06,1.625005097594112e-05,8.283194574687514e-08
firefighter,0.0001,0.8776,0.5444,0.0012,0.1037,0.4455,0.9987,0.0188,0.0101,7.418976792905596e-07,1.6287525795632973e-05,0.013208236545324326,6.3697574660182e-05,7.524583452322986e-06,1.3613461078421096e-06,1.4177066077536438e-05,1.1601835467445198e-05,2.628050310704566e-07
construction worker,0.0001,0.78,0.3809,0.0042,0.1996,0.6167,0.9957,0.0204,0.0024,8.108345923574234e-07,3.6138244468020275e-05,0.00850942824035883,6.207563274074346e-05,1.5888912457739934e-05,1.6197898276004707e-06,7.230531991808675e-06,1.1704924872901756e-05,4.517055174346751e-08
machinist,0.0,0.8149,0.3485,0.0023,0.1577,0.644,0.9977,0.0274,0.0074,7.067109208946931e-07,4.1168383177137e-05,0.018117718398571014,6.151170964585617e-05,1.1900050594704226e-05,2.0697812033176888e-06,1.0497402399778366e-05,1.939685535035096e-05,2.2342831584865053e-07
aircraft mechanic,0.0002,0.9074,0.5069,0.0042,0.0787,0.4918,0.9956,0.0139,0.0013,7.597967623951263e-07,1.8700076907407492e-05,0.0044173491187393665,8.83840475580655e-05,7.666554665775038e-06,1.3506897857951117e-06,8.410696864302736e-06,8.16094961919589e-06,2.1195415200736534e-08
carpenter,0.0001,0.8898,0.6165,0.0009,0.0926,0.3743,0.999,0.0176,0.0092,7.988306265360734e-07,1.3156787645129953e-05,0.014565758407115936,7.05009006196633e-05,7.336440830840729e-06,1.3968978009870625e-06,1.3085601494822185e-05,7.944815479277167e-06,1.9628214431577362e-07
roofer,0.0001,0.8086,0.2403,0.0052,0.1738,0.7571,0.9946,0.0176,0.0026,1.0966382433252875e-06,4.173153138253838e-05,0.007935772649943829,6.15003882558085e-05,1.321482068306068e-05,1.339698087576835e-06,6.733163900207728e-06,2.1217991161393e-05,7.325855477802179e-08
brickmason,0.0002,0.8797,0.6057,0.0029,0.1062,0.3911,0.9968,0.0141,0.0032,1.3746313243245822e-06,1.697178595350124e-05,0.005762859247624874,8.572011574869975e-05,1.0348060641263146e-05,1.3702724572794978e-06,1.22384572023293e-05,7.902526704128832e-06,6.476820146872342e-08
plumber,0.0001,0.8708,0.7495,0.0007,0.1072,0.2428,0.9993,0.022,0.0077,7.983578029779892e-07,6.5244412326137535e-06,0.010006643831729889,6.393239164026454e-05,7.869245564506855e-06,1.6152118860190967e-06,1.2408389011397958e-05,4.018989784526639e-06,1.2814572869501717e-07
electrician,0.0001,0.8748,0.3923,0.0019,0.1076,0.6054,0.998,0.0177,0.0023,8.971393867795996e-07,1.7727172235026956e-05,0.009426955133676529,6.955795106478035e-05,8.552539839001838e-06,1.40644840485038e-06,7.586028004880063e-06,1.170634277514182e-05,4.5107135804300924e-08
vehicle technician,0.0001,0.8307,0.3603,0.0053,0.1524,0.6346,0.9947,0.0169,0.005,8.230933872255264e-07,5.363296077121049e-05,0.010148370638489723,7.733342499705032e-05,1.4187857232172973e-05,1.5777595763211139e-06,9.925418453349266e-06,1.7481161194154993e-05,1.3854597114004719e-07
crane operator,0.0001,0.8855,0.6382,0.0012,0.0957,0.3552,0.9987,0.0188,0.0066,8.539568057130964e-07,9.895767107082065e-06,0.008106859400868416,7.958577771205455e-05,8.599396096542478e-06,1.6876981590030482e-06,1.2791580047633033e-05,7.119858310034033e-06,1.3278211952183483e-07
