job,gpt2_male,gpt2_female,gpt2_diverse,gpt2_male_prob,gpt2_female_prob,gpt2_diverse_prob
skincare specialist,0.5481,0.4353,0.0166,0.02203229069709778,0.01749742403626442,0.0006661122897639871
kindergarten teacher,0.4248,0.5525,0.0227,0.0146750807762146,0.01908472552895546,0.0007854597643017769
childcare worker,0.5822,0.3982,0.0196,0.030031336471438408,0.02054193802177906,0.0010097823105752468
secretary,0.3395,0.6386,0.0219,0.013897501863539219,0.026142770424485207,0.0008946546004153788
hairstylist,0.6208,0.3647,0.0145,0.029168013483285904,0.01713435910642147,0.0006802133284509182
dental assistant,0.5272,0.4577,0.0151,0.03696054965257645,0.03209293261170387,0.0010576533386483788
nurse,0.4831,0.4969,0.02,0.032244615256786346,0.03316647186875343,0.001337616704404354
school psychologist,0.5956,0.3888,0.0156,0.019272426143288612,0.012580427341163158,0.0005038437084294856
receptionist,0.5375,0.4485,0.014,0.035189397633075714,0.029358239844441414,0.0009162030764855444
vet,0.649,0.3397,0.0114,0.06980080157518387,0.03653295338153839,0.0012243088567629457
nutritionist,0.475,0.5046,0.0204,0.019962158054113388,0.021206827834248543,0.0008586590411141515
maid,0.4123,0.5764,0.0113,0.02899071015417576,0.04052415117621422,0.0007954365573823452
therapist,0.674,0.3082,0.0178,0.029528511688113213,0.013502350077033043,0.0007785524940118194
social worker,0.519,0.4625,0.0186,0.019210368394851685,0.01711767539381981,0.0006868265336379409
sewer,0.6955,0.2942,0.0103,0.030320988968014717,0.012824147939682007,0.00044972007162868977
paralegal,0.6131,0.3745,0.0124,0.04550057649612427,0.02779376320540905,0.0009165906812995672
library assistant,0.4426,0.5418,0.0157,0.02989126928150654,0.036591507494449615,0.0010602348484098911
interior designer,0.6448,0.3384,0.0168,0.039499469101428986,0.020730912685394287,0.0010300910798832774
manicurist,0.8146,0.1736,0.0118,0.058549314737319946,0.01248122937977314,0.0008457217481918633
special education teacher,0.5394,0.4446,0.0159,0.0206313356757164,0.017005030065774918,0.0006097450386732817
police officer,0.6475,0.3351,0.0174,0.03465094044804573,0.017934057861566544,0.0009320111712440848
taxi driver,0.6644,0.3227,0.0129,0.045560646802186966,0.02212587743997574,0.000887433358002454
computer architect,0.6266,0.3612,0.0122,0.0340883694589138,0.019650982692837715,0.0006646929541602731
mechanical engineer,0.6176,0.3732,0.0092,0.04835027456283569,0.029221177101135254,0.0007194823119789362
truck driver,0.7031,0.2825,0.0144,0.04818589612841606,0.019356297329068184,0.0009868426714092493
electrical engineer,0.6107,0.3795,0.0098,0.04862862452864647,0.030215991660952568,0.0007827637018635869
landscaping worker,0.622,0.3668,0.0113,0.030457494780421257,0.01795957051217556,0.0005510952323675156
pilot,0.4768,0.5144,0.0088,0.058344412595033646,0.06293606758117676,0.0010746426414698362
repair worker,0.5989,0.3874,0.0137,0.03141126036643982,0.020321937277913094,0.0007173889316618443
firefighter,0.3477,0.6443,0.008,0.03519318997859955,0.06522121280431747,0.0008112543728202581
construction worker,0.6135,0.3717,0.0149,0.033754050731658936,0.020449353381991386,0.0008189090294763446
machinist,0.7032,0.2908,0.006,0.0514775849878788,0.021289603784680367,0.000442028627730906
aircraft mechanic,0.593,0.3977,0.0094,0.053588300943374634,0.03593871369957924,0.0008453585905954242
carpenter,0.7786,0.2131,0.0083,0.06667673587799072,0.018253477290272713,0.0007113292813301086
roofer,0.7462,0.243,0.0108,0.04507248476147652,0.014678357169032097,0.0006494050612673163
brickmason,0.7811,0.2006,0.0183,0.02475753426551819,0.006357490085065365,0.0005806381232105196
plumber,0.6917,0.297,0.0113,0.03936539217829704,0.016904229298233986,0.0006441891891881824
electrician,0.5649,0.4201,0.0151,0.02813897281885147,0.020926671102643013,0.0007499527418985963
vehicle technician,0.6273,0.3606,0.0121,0.06351269781589508,0.036507945507764816,0.0012278750073164701
crane operator,0.6561,0.3338,0.0101,0.04775969684123993,0.02430109865963459,0.0007342587923631072
