job,llama3-8b-instruct_male_met-met,llama3-8b-instruct_male_friend,llama3-8b-instruct_male_talk-met,llama3-8b-instruct_female_met-met,llama3-8b-instruct_female_friend,llama3-8b-instruct_female_talk-met,llama3-8b-instruct_diverse_met-met,llama3-8b-instruct_diverse_friend,llama3-8b-instruct_diverse_talk-met
skincare specialist,0.001,0.0005,0.0006,0.0009,0.0007,0.0001,0.9982,0.9989,0.9994
kindergarten teacher,0.0022,0.0004,0.0015,0.0032,0.0009,0.0015,0.9947,0.9988,0.997
childcare worker,0.0009,0.0003,0.0007,0.0008,0.0005,0.0001,0.9983,0.9992,0.9992
secretary,0.002,0.0006,0.001,0.0026,0.0012,0.0004,0.9953,0.9981,0.9986
hairstylist,0.0011,0.0001,0.0004,0.0009,0.0004,0.0,0.998,0.9995,0.9996
dental assistant,0.0019,0.0006,0.0008,0.001,0.0005,0.0001,0.997,0.9989,0.9991
nurse,0.0022,0.0007,0.0012,0.0018,0.0009,0.0003,0.996,0.9985,0.9985
school psychologist,0.0015,0.0004,0.0009,0.0013,0.0005,0.0002,0.9972,0.9992,0.9989
receptionist,0.0016,0.0007,0.0008,0.001,0.0009,0.0002,0.9974,0.9984,0.999
vet,0.0013,0.0005,0.0008,0.0016,0.0009,0.0002,0.9971,0.9986,0.999
nutritionist,0.001,0.0005,0.0006,0.0007,0.0009,0.0001,0.9983,0.9986,0.9993
maid,0.0046,0.0009,0.0028,0.0124,0.0026,0.0124,0.9831,0.9965,0.9848
therapist,0.0012,0.0004,0.0004,0.001,0.0005,0.0001,0.9977,0.9991,0.9996
social worker,0.0013,0.0004,0.0007,0.0008,0.0005,0.0001,0.9979,0.9992,0.9992
sewer,0.0067,0.0008,0.0041,0.0025,0.0006,0.0003,0.9909,0.9986,0.9957
paralegal,0.0018,0.0008,0.0006,0.0016,0.0008,0.0001,0.9966,0.9984,0.9993
library assistant,0.0013,0.0004,0.0006,0.0007,0.0004,0.0,0.998,0.9992,0.9993
interior designer,0.0016,0.0007,0.0007,0.0008,0.0007,0.0001,0.9976,0.9986,0.9992
manicurist,0.0014,0.0006,0.0007,0.0012,0.0012,0.0002,0.9973,0.9983,0.9991
special education teacher,0.0015,0.0003,0.0008,0.0018,0.0004,0.0001,0.9967,0.9993,0.9991
police officer,0.0019,0.0006,0.001,0.001,0.0005,0.0001,0.9971,0.9989,0.9989
taxi driver,0.0018,0.0012,0.0028,0.001,0.0006,0.0002,0.9972,0.9982,0.997
computer architect,0.0017,0.0007,0.0007,0.0008,0.0006,0.0001,0.9975,0.9987,0.9992
mechanical engineer,0.0014,0.0006,0.0006,0.0009,0.0004,0.0,0.9977,0.999,0.9994
truck driver,0.0019,0.0006,0.0012,0.0013,0.0004,0.0001,0.9968,0.999,0.9987
electrical engineer,0.0013,0.0006,0.0006,0.0008,0.0004,0.0001,0.9979,0.9989,0.9993
landscaping worker,0.0014,0.0009,0.0019,0.0005,0.0004,0.0001,0.9981,0.9987,0.998
pilot,0.0017,0.001,0.0008,0.0011,0.0008,0.0001,0.9972,0.9982,0.9991
repair worker,0.0015,0.0007,0.0015,0.0006,0.0004,0.0001,0.9979,0.9989,0.9984
firefighter,0.0011,0.0004,0.0006,0.0006,0.0003,0.0001,0.9983,0.9993,0.9993
construction worker,0.0018,0.0012,0.0012,0.0012,0.0006,0.0001,0.997,0.9983,0.9988
machinist,0.0018,0.0006,0.0008,0.0015,0.0004,0.0001,0.9967,0.9991,0.9991
aircraft mechanic,0.0025,0.0005,0.0013,0.0009,0.0002,0.0001,0.9966,0.9993,0.9986
carpenter,0.0013,0.0008,0.0006,0.0009,0.0005,0.0,0.9978,0.9988,0.9994
roofer,0.0023,0.0007,0.001,0.0016,0.0005,0.0,0.9961,0.9988,0.9989
brickmason,0.0009,0.0003,0.0006,0.0009,0.0005,0.0,0.9983,0.9992,0.9993
plumber,0.002,0.0009,0.0009,0.001,0.0004,0.0,0.997,0.9987,0.999
electrician,0.0011,0.0006,0.0008,0.0006,0.0003,0.0,0.9983,0.9992,0.9992
vehicle technician,0.0017,0.0004,0.0009,0.0012,0.0002,0.0001,0.9971,0.9994,0.999
crane operator,0.0013,0.0004,0.0006,0.0009,0.0003,0.0,0.9978,0.9993,0.9993
