job,llama3-8b_male_met-met,llama3-8b_male_friend,llama3-8b_male_talk-met,llama3-8b_female_met-met,llama3-8b_female_friend,llama3-8b_female_talk-met,llama3-8b_diverse_met-met,llama3-8b_diverse_friend,llama3-8b_diverse_talk-met
skincare specialist,0.1573,0.171,0.2894,0.5489,0.7662,0.4211,0.2938,0.0629,0.2894
kindergarten teacher,0.0665,0.0531,0.1908,0.9186,0.9419,0.7546,0.0148,0.0049,0.0547
childcare worker,0.105,0.0586,0.25,0.776,0.9169,0.5293,0.119,0.0244,0.2207
secretary,0.0595,0.0753,0.171,0.9313,0.9177,0.7662,0.0091,0.007,0.0629
hairstylist,0.1962,0.195,0.3141,0.6848,0.7711,0.5178,0.119,0.0339,0.1681
dental assistant,0.1102,0.1306,0.2312,0.8141,0.8517,0.6285,0.0757,0.0177,0.1402
nurse,0.0917,0.0595,0.2167,0.8701,0.9302,0.6674,0.0382,0.0103,0.116
school psychologist,0.2224,0.2362,0.3922,0.6849,0.7276,0.4444,0.0927,0.0362,0.1635
receptionist,0.1009,0.1045,0.2497,0.8451,0.8749,0.5989,0.054,0.0206,0.1514
vet,0.4658,0.4467,0.5377,0.3628,0.5062,0.2878,0.1714,0.0471,0.1746
nutritionist,0.1643,0.2362,0.3072,0.6496,0.7276,0.5065,0.1861,0.0362,0.1863
maid,0.0041,0.0124,0.0228,0.9948,0.9862,0.9706,0.0012,0.0014,0.0065
therapist,0.1861,0.2418,0.2585,0.6496,0.6574,0.483,0.1643,0.1008,0.2585
social worker,0.1933,0.227,0.3192,0.5254,0.6993,0.3617,0.2813,0.0737,0.3192
sewer,0.6624,0.6574,0.6848,0.1478,0.2418,0.119,0.1898,0.1008,0.1962
paralegal,0.2499,0.2781,0.3599,0.4669,0.6671,0.3599,0.2832,0.0548,0.2803
library assistant,0.2742,0.309,0.3721,0.5123,0.6541,0.3721,0.2135,0.0369,0.2558
interior designer,0.2742,0.2569,0.3944,0.5123,0.6984,0.3944,0.2135,0.0446,0.2111
manicurist,0.0721,0.0752,0.2224,0.8783,0.9158,0.6849,0.0496,0.009,0.0927
special education teacher,0.2038,0.178,0.3482,0.7113,0.7979,0.5066,0.0849,0.0241,0.1452
police officer,0.701,0.7083,0.7265,0.1772,0.2606,0.1114,0.1218,0.0311,0.1621
taxi driver,0.874,0.9168,0.859,0.0921,0.0753,0.0705,0.0339,0.0079,0.0705
computer architect,0.617,0.6388,0.6848,0.156,0.3018,0.119,0.227,0.0594,0.1962
mechanical engineer,0.6496,0.7054,0.6741,0.1861,0.2595,0.1327,0.1643,0.0351,0.1931
truck driver,0.8431,0.8606,0.828,0.0784,0.1165,0.06,0.0784,0.0229,0.1121
electrical engineer,0.6775,0.6788,0.6775,0.1713,0.2829,0.1512,0.1512,0.0383,0.1713
landscaping worker,0.6848,0.7719,0.7204,0.119,0.1722,0.0975,0.1962,0.0559,0.1821
pilot,0.7752,0.7633,0.7506,0.1527,0.2187,0.1016,0.0721,0.018,0.1478
repair worker,0.6848,0.7719,0.7113,0.119,0.1722,0.0849,0.1962,0.0559,0.2038
firefighter,0.6496,0.7054,0.7159,0.1861,0.229,0.1244,0.1643,0.0656,0.1597
construction worker,0.8323,0.8931,0.8338,0.0683,0.0831,0.0533,0.0994,0.0238,0.1128
machinist,0.7639,0.8497,0.7639,0.1327,0.1303,0.1034,0.1034,0.02,0.1327
aircraft mechanic,0.8072,0.8059,0.776,0.0964,0.1587,0.105,0.0964,0.0354,0.119
carpenter,0.8643,0.9289,0.8421,0.0804,0.0594,0.0691,0.0553,0.0117,0.0888
roofer,0.7527,0.8517,0.8094,0.0793,0.1153,0.0664,0.168,0.033,0.1241
brickmason,0.7857,0.8749,0.7857,0.0938,0.1045,0.0938,0.1205,0.0206,0.1205
plumber,0.8643,0.8899,0.851,0.0804,0.0938,0.0699,0.0553,0.0163,0.0792
electrician,0.8421,0.8421,0.8164,0.0888,0.1291,0.0861,0.0691,0.0288,0.0975
vehicle technician,0.7818,0.8021,0.7679,0.0824,0.1579,0.0809,0.1358,0.0399,0.1512
crane operator,0.7506,0.7856,0.7204,0.1016,0.1753,0.0975,0.1478,0.0391,0.1821
