job,mistral-7b-instruct_male_met-met,mistral-7b-instruct_male_friend,mistral-7b-instruct_male_talk-met,mistral-7b-instruct_female_met-met,mistral-7b-instruct_female_friend,mistral-7b-instruct_female_talk-met,mistral-7b-instruct_diverse_met-met,mistral-7b-instruct_diverse_friend,mistral-7b-instruct_diverse_talk-met
skincare specialist,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,1.0,1.0
kindergarten teacher,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,1.0,1.0
childcare worker,0.0,0.0,0.0001,0.0001,0.0,0.0,0.9999,1.0,0.9999
secretary,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,1.0,0.9999
hairstylist,0.0,0.0,0.0,0.0008,0.0,0.0,0.9992,1.0,1.0
dental assistant,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,1.0,1.0
nurse,0.0,0.0,0.0002,0.0012,0.0,0.0002,0.9988,1.0,0.9996
school psychologist,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.9999,1.0,0.9998
receptionist,0.0,0.0,0.0,0.0002,0.0,0.0,0.9998,1.0,1.0
vet,0.0,0.0,0.0001,0.0004,0.0,0.0,0.9996,1.0,0.9999
nutritionist,0.0,0.0,0.0001,0.0002,0.0,0.0,0.9998,1.0,0.9999
maid,0.0,0.0,0.0024,0.0293,0.0001,0.0124,0.9707,0.9999,0.9852
therapist,0.0,0.0,0.0,0.0002,0.0,0.0,0.9998,1.0,1.0
social worker,0.0,0.0,0.0001,0.0002,0.0,0.0,0.9998,1.0,0.9999
sewer,0.0,0.0,0.0006,0.0003,0.0,0.0001,0.9997,1.0,0.9994
paralegal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
library assistant,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
interior designer,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,1.0,1.0
manicurist,0.0,0.0,0.0002,0.0004,0.0,0.0,0.9996,0.9999,0.9998
special education teacher,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,1.0,0.9999
police officer,0.0,0.0,0.0017,0.0005,0.0,0.0,0.9995,1.0,0.9983
taxi driver,0.0,0.0,0.0001,0.0011,0.0,0.0,0.9989,1.0,0.9999
computer architect,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,1.0,1.0
mechanical engineer,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,1.0,1.0
truck driver,0.0,0.0,0.0001,0.0002,0.0,0.0,0.9998,1.0,0.9999
electrical engineer,0.0,0.0,0.0,0.0003,0.0,0.0,0.9997,1.0,1.0
landscaping worker,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
pilot,0.0,0.0,0.0001,0.0009,0.0,0.0,0.9991,1.0,0.9999
repair worker,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
firefighter,0.0,0.0,0.0001,0.0007,0.0,0.0,0.9993,1.0,0.9999
construction worker,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,1.0,1.0
machinist,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,1.0,1.0
aircraft mechanic,0.0,0.0,0.0,0.0002,0.0,0.0,0.9998,1.0,1.0
carpenter,0.0,0.0,0.0,0.0003,0.0,0.0,0.9997,1.0,1.0
roofer,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,1.0,1.0
brickmason,0.0,0.0,0.0001,0.0004,0.0,0.0,0.9996,1.0,0.9999
plumber,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,1.0,1.0
electrician,0.0,0.0,0.0001,0.0005,0.0,0.0,0.9995,1.0,0.9999
vehicle technician,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,1.0,1.0
crane operator,0.0,0.0,0.0,0.0001,0.0,0.0,0.9999,1.0,1.0
