job,llama3-8b_male_met-met,llama3-8b_male_friend,llama3-8b_male_talk-met,llama3-8b_female_met-met,llama3-8b_female_friend,llama3-8b_female_talk-met,llama3-8b_diverse_met-met,llama3-8b_diverse_friend,llama3-8b_diverse_talk-met
skincare specialist,0.4266,0.1819,0.3329,0.5478,0.8153,0.622,0.0256,0.0028,0.0451
kindergarten teacher,0.2919,0.2221,0.1813,0.7003,0.7751,0.8125,0.0078,0.0028,0.0062
childcare worker,0.3126,0.1639,0.2606,0.6618,0.8325,0.7083,0.0257,0.0036,0.0311
secretary,0.2316,0.1327,0.1185,0.7594,0.8653,0.8756,0.009,0.002,0.0059
hairstylist,0.5238,0.3477,0.4273,0.4622,0.6496,0.5486,0.014,0.0027,0.0241
dental assistant,0.3727,0.1326,0.2199,0.6145,0.8646,0.7677,0.0128,0.0028,0.0124
nurse,0.2919,0.1821,0.2203,0.7003,0.8159,0.7688,0.0078,0.002,0.011
school psychologist,0.3445,0.2011,0.3144,0.6437,0.7954,0.6655,0.0118,0.0035,0.0201
receptionist,0.3582,0.14,0.1992,0.6287,0.8573,0.788,0.013,0.0027,0.0127
vet,0.541,0.3476,0.5822,0.4485,0.6494,0.4002,0.0105,0.003,0.0176
nutritionist,0.3735,0.1821,0.3135,0.6159,0.8162,0.6638,0.0106,0.0017,0.0227
maid,0.106,0.0715,0.0674,0.8876,0.9267,0.93,0.0064,0.0018,0.0026
therapist,0.4468,0.2682,0.3906,0.5389,0.7291,0.5683,0.0144,0.0026,0.0412
social worker,0.4279,0.2679,0.3613,0.5494,0.7283,0.5956,0.0227,0.0038,0.0431
sewer,0.6569,0.3761,0.6332,0.3303,0.6202,0.3389,0.0128,0.0037,0.0278
paralegal,0.429,0.182,0.3144,0.5509,0.8156,0.6655,0.0201,0.0024,0.0201
library assistant,0.4893,0.2013,0.3631,0.4893,0.7963,0.5986,0.0215,0.0024,0.0383
interior designer,0.4285,0.2443,0.3861,0.5502,0.7526,0.5617,0.0213,0.0031,0.0522
manicurist,0.331,0.182,0.2435,0.6583,0.8157,0.75,0.0106,0.0023,0.0065
special education teacher,0.4024,0.2013,0.2654,0.5855,0.7963,0.7214,0.0122,0.0024,0.0132
police officer,0.6949,0.467,0.6671,0.2897,0.5292,0.3151,0.0154,0.0038,0.0178
taxi driver,0.7026,0.6498,0.7737,0.2929,0.3478,0.2217,0.0044,0.0023,0.0046
computer architect,0.6402,0.4673,0.6671,0.3427,0.5295,0.3151,0.0171,0.0031,0.0178
mechanical engineer,0.617,0.3481,0.5809,0.3742,0.6504,0.3992,0.0088,0.0015,0.0199
truck driver,0.7598,0.5295,0.7252,0.2317,0.4673,0.2668,0.0084,0.0031,0.0081
electrical engineer,0.6437,0.3914,0.5374,0.3445,0.6062,0.4185,0.0118,0.0023,0.0441
landscaping worker,0.7782,0.6193,0.7595,0.1968,0.3756,0.2176,0.025,0.005,0.0229
pilot,0.6616,0.4678,0.6978,0.3327,0.5301,0.2909,0.0057,0.002,0.0113
repair worker,0.8053,0.5908,0.7677,0.1688,0.4061,0.1941,0.0259,0.0031,0.0382
firefighter,0.7067,0.4666,0.7244,0.2767,0.5288,0.2665,0.0166,0.0046,0.0091
construction worker,0.907,0.7289,0.8856,0.0793,0.2681,0.1058,0.0138,0.003,0.0087
machinist,0.759,0.5906,0.7478,0.2315,0.4059,0.2428,0.0096,0.0035,0.0094
aircraft mechanic,0.786,0.5751,0.6891,0.1987,0.4208,0.2873,0.0153,0.0041,0.0236
carpenter,0.8464,0.6779,0.8118,0.1471,0.3202,0.1811,0.0065,0.0019,0.007
roofer,0.8253,0.6479,0.8588,0.1527,0.3468,0.1317,0.022,0.0053,0.0095
brickmason,0.723,0.621,0.7252,0.266,0.3766,0.2668,0.011,0.0024,0.0081
plumber,0.8177,0.5299,0.8606,0.1714,0.4676,0.132,0.011,0.0025,0.0074
electrician,0.8486,0.5907,0.7334,0.1385,0.406,0.2381,0.0129,0.0033,0.0284
vehicle technician,0.6558,0.4986,0.6283,0.3297,0.4986,0.3363,0.0145,0.0028,0.0354
crane operator,0.7409,0.5281,0.7225,0.2405,0.466,0.2658,0.0185,0.0059,0.0117
